Ticker,Name,Name_ZH,Date_Today,Date_Prev,Volume_Today,Volume_Prev,Pct_Change
1657.HK,SG GROUP HLDGS,桦欣控股,2026-06-17,2026-06-16,23984000,15000,+159793.33%
1703.HK,EASYHOLD GROUP,谊和股份,2026-06-17,2026-06-16,16198000,15000,+107886.67%
6868.HK,TENFU,天福,2026-06-17,2026-06-16,6014000,6000,+100133.33%
0487.HK,SUCCESSUNIVERSE,实德环球,2026-06-17,2026-06-16,20080000,44000,+45536.36%
0575.HK,REGENT PACIFIC,励晶太平洋,2026-06-17,2026-06-16,4366800,13000,+33490.77%
3366.HK,OCT (ASIA),华侨城（亚洲）,2026-06-17,2026-06-16,608000,2000,+30300.00%
1393.HK,HIDILI INDUSTRY,恒鼎实业,2026-06-17,2026-06-16,1022000,4000,+25450.00%
8187.HK,JIMU GROUP,积木集团,2026-06-17,2026-06-16,5045000,25000,+20080.00%
1623.HK,HILONG,海隆控股,2026-06-17,2026-06-16,345000,2000,+17150.00%
1080.HK,SHENGLI PIPE,胜利管道,2026-06-17,2026-06-16,244500,1500,+16200.00%
0379.HK,EG LEASING,恒嘉融资租赁,2026-06-17,2026-06-16,6890001,50000,+13680.00%
0858.HK,EXTRAWELL PHAR,精优药业,2026-06-17,2026-06-16,1130000,10000,+11200.00%
1400.HK,MOODY TECH HLDG,满地科技股份,2026-06-17,2026-06-16,72980000,720000,+10036.11%
1869.HK,KAFELAKU COFFEE,猫屎咖啡控股,2026-06-17,2026-06-16,41557500,500000,+8211.50%
9933.HK,GHW INTL,GHW INTL,2026-06-17,2026-06-16,2020000,28000,+7114.29%
6158.HK,ZHENRO PPT,正荣地产,2026-06-17,2026-06-16,2502000,36000,+6850.00%
1546.HK,THELLOY DEV,德莱建业,2026-06-17,2026-06-16,11976000,176000,+6704.55%
8366.HK,ZJ UNITED INV,浙江联合投资,2026-06-17,2026-06-16,1910000,30000,+6266.67%
0547.HK,DIGITAL DOMAIN,数字王国,2026-06-17,2026-06-16,50809000,845000,+5912.90%
2023.HK,CHINA LUDAO,中国绿岛科技,2026-06-17,2026-06-16,188000,4000,+4600.00%
1529.HK,YUES INTL HLDG,乐氏国际控股,2026-06-17,2026-06-16,262000,6000,+4266.67%
6068.HK,WISDOM EDU INTL,光正教育,2026-06-17,2026-06-16,798000,20000,+3890.00%
1933.HK,ONEFORCE HLDGS,元力控股,2026-06-17,2026-06-16,45086000,1188000,+3695.12%
0235.HK,CSC HOLDINGS,中策资本控股,2026-06-17,2026-06-16,40773616,1120000,+3540.50%
0080.HK,CAI CORP,ＣＡＩ控股,2026-06-17,2026-06-16,640000,20000,+3100.00%
8227.HK,HAITIAN ANTENNA,海天天线,2026-06-17,2026-06-16,2999000,94000,+3090.43%
0913.HK,HARBOUR DIGITAL,港湾数字,2026-06-17,2026-06-16,570000,20000,+2750.00%
0500.HK,FRONTIER SER,先丰服务集团,2026-06-17,2026-06-16,511000,18000,+2738.89%
2393.HK,YESTAR HEALTH,巨星医疗控股,2026-06-17,2026-06-16,282500,10000,+2725.00%
0603.HK,CHINA OIL & GAS,中油燃气,2026-06-17,2026-06-16,14040000,562000,+2398.22%
6196.HK,BANKOFZHENGZHOU,郑州银行,2026-06-17,2026-06-16,76745000,3206000,+2293.79%
0271.HK,ASIASEC PPT,亚证地产,2026-06-17,2026-06-16,191000,8000,+2287.50%
8262.HK,SUPER STRONG,宏强控股,2026-06-17,2026-06-16,230000,10000,+2200.00%
1826.HK,FDB HOLDINGS,丰展控股,2026-06-17,2026-06-16,450000,20000,+2150.00%
