Ticker,Name,Name_ZH,Date_Today,Date_Prev,Turnover_Pct_Change,Turnover_Today,Turnover_Prev,Close_Today,Price_Pct_Change,Volume_Today,Volume_Prev,Market_Cap
0069.HK,SHANGRI-LA ASIA,香格里拉（亚洲）,2026-09-16,2026-09-15,9987.2,57725024,572260,3.88,-3.72,14877583,142000,13853712121
3310.HK,VIEWTRIX TECH,云英谷科技,2026-09-16,2026-09-15,2400.21,220914532,8835840,26.46,13.08,8349000,377600,11528826666
2643.HK,CAOCAO INC,曹操出行,2026-09-16,2026-09-15,934.47,303117711,29301663,12.81,14.58,23662584,2620900,7431986961
3931.HK,CALB,中创新航,2026-09-16,2026-09-15,576.1,211158054,31231788,17.52,6.63,12052400,1900900,31050729363
2575.HK,XUANZHUBIO-B,轩竹生物－Ｂ,2026-09-16,2026-09-15,520.54,18593310,2996300,8.13,-2.05,2287000,361000,4210915591
2650.HK,ZHIDA TECH,挚达科技,2026-09-16,2026-09-15,370.16,957185918,203587299,9.9,15.25,96685450,23700500,3148889760
2631.HK,SICC,天岳先进,2026-09-16,2026-09-15,367.71,195285418,41753129,63.8,7.59,3060900,704100,30918662737
1021.HK,HUAYAN ROBOTICS,华沿机器人,2026-09-16,2026-09-15,361.84,428008855,92674625,11.2,12.9,38215077,9342200,6088292792
6655.HK,HX BLDG MAT,华新建材,2026-09-16,2026-09-15,355.07,103794787,22808411,16.14,0.5,6430904,1420200,33554988505
6031.HK,SANY HEAVY IND,三一重工,2026-09-16,2026-09-15,335.65,309204302,70975883,18.46,-4.45,16749963,3673700,169739773488
1815.HK,EVEREST GOLD,珠峰黄金,2026-09-16,2026-09-15,322.68,48217890,11407600,2.01,5.79,23989000,6004000,2786613817
1710.HK,TRIO IND ELEC,致丰工业电子,2026-09-16,2026-09-15,291.25,18610340,4756680,2.165,19.61,8596000,2628000,2164999961
6871.HK,ROBOTPHOENIX,翼菲科技,2026-09-16,2026-09-15,287.81,21886106,5643472,30.58,12.92,715700,208400,7490692322
3788.HK,HANKING GOLD,罕王黄金,2026-09-16,2026-09-15,286.99,20268600,5237520,3.3,5.1,6142000,1668000,8067337402
2658.HK,TIANYU SEMI,天域半导体,2026-09-16,2026-09-15,272.83,24702466,6625701,40.38,13.87,611750,186850,15877893348
2768.HK,GON TECHNOLOGY,国恩科技,2026-09-16,2026-09-15,261.4,45079320,12473416,39.0,5.18,1155880,336392,17027400000
1333.HK,BRETON,博雷顿,2026-09-16,2026-09-15,258.01,18069142,5047096,11.83,2.34,1527400,436600,5884430307
0368.HK,SUPERLAND GROUP,德合集团,2026-09-16,2026-09-15,254.83,24091391,6789600,3.12,-32.17,7721600,1476000,2495999908
3661.HK,SG MICRO,圣邦股份,2026-09-16,2026-09-15,236.72,36368641,10800800,92.4,0.43,393600,117400,63352606023
